source,tag,hidden,D_eff,best_exact,best_token,Wh_token60,step_token60,Wh_token65,step_token65,Wh_exact5,step_exact5,Wh_exact10,step_exact10
budget_out,h128_d18,128,18,14.6484375,69.56983804702759,7.8972,4000,11.8982,6000,19.8035,10000,43.626,22000
budget_out,h128_d18_s3,128,18,11.1328125,68.70418787002563,7.9625,4000,11.9533,6000,15.9911,8000,56.0261,28000
budget_out,h128_d18_s4,128,18,13.8671875,69.16232705116272,7.9458,4000,11.9203,6000,23.9222,12000,27.8931,14000
budget_out,h128_d36,128,36,15.234375,69.70968246459961,14.7092,4000,22.002,6000,36.643,10000,43.9386,12000
budget_out,h128_d36_s3,128,36,10.7421875,68.66319179534912,14.6127,4000,21.9567,6000,58.5716,16000,102.5317,28000
budget_out,h128_d36_s4,128,36,7.8125,68.08208227157593,14.6104,4000,21.9538,6000,36.5909,10000,,
budget_out,h128_d9,128,9,12.109375,69.1213309764862,4.2218,4000,6.4316,6000,10.9474,10000,17.7167,16000
budget_out,h128_d9_s3,128,9,10.7421875,68.97425055503845,4.2313,4000,8.6933,8000,17.7644,16000,17.7644,16000
budget_out,h128_d9_s4,128,9,9.765625,68.73311996459961,4.5437,4000,6.829,6000,11.4581,10000,,
frontier_out,d09,,,5.2734375,67.35628843307495,6.6389,3124,10.0817,4686,13.5964,6248,,
frontier_out,d18,,,6.640625,66.94154739379883,12.1276,3124,18.2476,4686,24.3651,6248,,
frontier_out,d36,,,3.515625,67.65769720077515,22.5918,3124,33.9741,4686,,,,
scale_out,h128_d18,128,18,1.953125,63.62365484237671,5.6033,2624,,,,,,
scale_out,h128_d9,128,9,1.171875,63.89853358268738,3.0621,2624,,,,,,
scale_out,h256_d18,256,18,1.953125,64.02150392532349,11.2238,2624,,,,,,
scale_out,h256_d9,256,9,1.7578125,63.96363973617554,6.4105,2624,,,,,,
scale_out,h384_d18,384,18,2.34375,65.0414764881134,15.3348,2296,26.3262,3936,,,,
scale_out,h384_d9,384,9,2.5390625,64.22405242919922,8.8172,2296,,,,,,
scale_out,h512_d18,512,18,2.5390625,65.03424048423767,23.787,2296,40.756,3936,,,,
scale_out,h512_d9,512,9,5.2734375,64.63397145271301,13.9224,2296,,,23.6189,3936,,
scale_out,h768_d18,768,18,2.34375,64.51823115348816,39.9352,2296,,,,,,
scale_out,h768_d9,768,9,1.953125,64.8075819015503,23.1863,2296,,,,,,
maze_out,h128_d18,128,18,0.0,87.16493248939514,15.6378,530,15.6378,530,,,,
maze_out,h128_d18_s0,128,18,0.0,83.78610610961914,15.8846,500,15.8846,500,,,,
maze_out,h128_d18_s1,128,18,0.0,84.48411226272583,15.8226,500,15.8226,500,,,,
maze_out,h128_d18_s2,128,18,0.0,84.0168833732605,15.772,500,15.772,500,,,,
maze_out,h128_d9,128,9,0.0,87.1727466583252,8.6914,530,8.6914,530,,,,
maze_out,h128_d9_s0,128,9,0.0,84.16377902030945,9.1213,500,18.2261,1000,,,,
maze_out,h128_d9_s1,128,9,0.0,85.05644798278809,8.9485,500,8.9485,500,,,,
maze_out,h128_d9_s2,128,9,0.0,85.79899668693542,8.942,500,8.942,500,,,,
converge_out,h128_d36_converge_s0,128,36,17.1875,69.68075037002563,14.3097,4000,21.6052,6000,36.2433,10000,50.8332,14000
